dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec),batch size,steps
48,0,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,0.959020747,0.952003227,186.7117891,2048,600
48,1,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,0.754572726,0.682823828,196.6104369,2048,600
49,0,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,0.843155304,0.834039144,197.0784941,2048,600
49,1,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,0.724907781,0.726950452,204.5595319,2048,600
50,0,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,0.857138406,0.844654795,204.7418299,2048,600
50,1,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,0.706551824,0.710851705,220.46222,2048,600
51,0,wgEncodeAwgTfbsSydhK562Mazab85725IggrabUniPk,0.839435972,0.832855835,202.6616628,2048,600
52,0,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.881099879,0.856591692,191.8996131,2048,600
52,1,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.742933155,0.764484585,193.9995151,2048,600
53,0,wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk,0.831097932,0.819774936,192.1515789,2048,600
54,0,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,0.834338521,0.822636423,201.511539,2048,600
54,1,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,0.724275562,0.714419894,207.2436268,2048,600
55,0,wgEncodeAwgTfbsUtaK562CmycUniPk,0.845240657,0.82982739,197.5347121,2048,600
55,1,wgEncodeAwgTfbsUtaK562CmycUniPk,0.785991448,0.774094715,199.8997009,2048,600
56,0,wgEncodeAwgTfbsSydhK562Nfe2UniPk,0.973130525,0.973668008,196.2235501,2048,600
56,1,wgEncodeAwgTfbsSydhK562Nfe2UniPk,0.894301853,0.864520751,197.4029701,2048,600
57,0,wgEncodeAwgTfbsSydhK562NfyaUniPk,0.928902782,0.911405234,197.5651491,2048,600
57,1,wgEncodeAwgTfbsSydhK562NfyaUniPk,0.828077074,0.829942836,201.7918341,2048,600
58,0,wgEncodeAwgTfbsSydhK562NfybUniPk,0.96889064,0.967356005,202.7361782,2048,600
58,1,wgEncodeAwgTfbsSydhK562NfybUniPk,0.792730001,0.783950539,207.754457,2048,600
59,0,wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk,0.84332477,0.833271834,205.9326019,2048,600
60,0,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.938536421,0.928586308,197.604192,2048,600
60,1,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.827569172,0.838884829,205.8494298,2048,600
61,0,wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk,0.794927828,0.789107993,206.0415568,2048,600
62,0,wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk,0.795674698,0.771066432,205.5780129,2048,600
63,0,wgEncodeAwgTfbsBroadK562Pol2bUniPk,0.771939692,0.760408627,205.7808361,2048,600
64,0,wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk,0.810385987,0.79353522,208.3869841,2048,600
65,0,wgEncodeAwgTfbsSydhK562Pol2UniPk,0.809757045,0.804864673,207.3769901,2048,600
66,0,wgEncodeAwgTfbsSydhK562Pol2IggmusUniPk,0.771353338,0.771357313,205.5646279,2048,600
67,0,wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk,0.775727625,0.767966124,211.6950979,2048,600
68,0,wgEncodeAwgTfbsUtaK562Pol2UniPk,0.8084908,0.803681828,212.6241481,2048,600
69,0,wgEncodeAwgTfbsSydhK562Pol2s2IggrabUniPk,0.733658493,0.717666023,206.957207,2048,600
70,0,wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk,0.955754812,0.949146706,216.9781969,2048,600
71,0,wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk,0.778266971,0.767689656,213.0846651,2048,600
72,0,wgEncodeAwgTfbsSydhK562Corestsc30189IggrabUniPk,0.842278597,0.833506689,219.4662929,2048,600
73,0,wgEncodeAwgTfbsSydhK562Corestab24166IggrabUniPk,0.823109153,0.81008138,211.2582979,2048,600
74,0,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.865665086,0.855157087,217.0642741,2048,600
74,1,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.715089785,0.740073636,220.1477129,2048,600
75,0,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.781163291,0.754916762,216.4784751,2048,600
75,1,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.784489291,0.788489909,214.3989069,2048,600
76,0,wgEncodeAwgTfbsBroadK562Sap3039731UniPk,0.791835124,0.782804987,215.002558,2048,600
77,0,wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk,0.760228994,0.740057526,215.1658089,2048,600
78,0,wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk,0.828750274,0.821022835,220.1157641,2048,600
79,0,wgEncodeAwgTfbsSydhK562Sirt6UniPk,0.806101553,0.789638578,217.0137839,2048,600
80,0,wgEncodeAwgTfbsHaibK562Six5Pcr1xUniPk,0.863776282,0.833862627,219.4233179,2048,600
81,0,wgEncodeAwgTfbsSydhK562Smc3ab9263IggrabUniPk,0.959195633,0.948271176,225.5376542,2048,600
82,0,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.850911336,0.835410313,222.3834469,2048,600
82,1,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.809586982,0.811524551,236.437865,2048,600
83,0,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.869819156,0.85062226,221.474158,2048,600
83,1,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.863453225,0.865802525,229.1068649,2048,600
84,0,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.979536214,0.980568553,234.758219,2048,600
84,1,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.783767996,0.751127491,244.660321,2048,600
85,0,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.864515462,0.846492283,230.161763,2048,600
85,1,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.790087673,0.767735736,225.3623102,2048,600
86,0,wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.876420691,0.861263745,230.992646,2048,600
86,1,wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.683805217,0.657308332,232.540432,2048,600
87,0,wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk,0.826505818,0.813996045,236.6986151,2048,600
88,0,wgEncodeAwgTfbsHaibK562Taf7sc101167V0416101UniPk,0.766172022,0.772420532,232.9602258,2048,600
89,0,wgEncodeAwgTfbsSydhK562Tal1sc12984IggmusUniPk,0.902212219,0.893712277,129.6286571,2048,600
90,0,wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk,0.754753062,0.756698104,123.0603099,2048,600
91,0,wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk,0.835451904,0.823533354,124.9696009,2048,600
92,0,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.801375212,0.789593465,129.345681,2048,600
92,1,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.708301973,0.690056345,126.3572831,2048,600
93,0,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.856940101,0.848361915,134.341706,2048,600
93,1,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.658124494,0.643103685,135.9407659,2048,600
94,0,wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.777853285,0.774064392,128.355269,2048,600
94,1,wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.831303301,0.836573871,130.230885,2048,600
95,0,wgEncodeAwgTfbsHaibK562Trim28sc81411V0422111UniPk,0.800556812,0.792313414,131.8136761,2048,600
96,0,wgEncodeAwgTfbsSydhK562Ubfsc13125IggmusUniPk,0.831635103,0.843350249,131.8793039,2048,600
97,0,wgEncodeAwgTfbsSydhK562Ubtfsab1404509IggmusUniPk,0.821923309,0.812815869,134.455687,2048,600
98,0,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.958518691,0.952791947,136.382535,2048,600
