dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec)
61,0,wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk,0.686418789,0.673159051,112.4727972
62,0,wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk,0.681875518,0.661893034,111.522368
63,0,wgEncodeAwgTfbsBroadK562Pol2bUniPk,0.647253221,0.635920933,111.2619162
64,0,wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk,0.683840281,0.657779072,115.0985
65,0,wgEncodeAwgTfbsSydhK562Pol2UniPk,0.687425423,0.670847687,114.944968
66,0,wgEncodeAwgTfbsSydhK562Pol2IggmusUniPk,0.654961511,0.635291215,113.4278729
67,0,wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk,0.660529135,0.640562275,117.8197639
68,0,wgEncodeAwgTfbsUtaK562Pol2UniPk,0.683522229,0.660322808,117.4136891
69,0,wgEncodeAwgTfbsSydhK562Pol2s2IggrabUniPk,0.577799119,0.558081106,546.5507259
70,0,wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk,0.804202716,0.780356552,123.8103569
71,0,wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk,0.656237428,0.6401222,118.557724
72,0,wgEncodeAwgTfbsSydhK562Corestsc30189IggrabUniPk,0.670190288,0.660191185,125.9749269
73,0,wgEncodeAwgTfbsSydhK562Corestab24166IggrabUniPk,0.654820382,0.629619694,553.1252289
74,0,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.691133422,0.662071295,121.6295121
74,1,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.648229667,0.678194457,124.7865031
75,0,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.5603125,0.570836333,553.85467
75,1,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.756822544,0.78337575,554.083915
76,0,wgEncodeAwgTfbsBroadK562Sap3039731UniPk,0.637788889,0.62530333,122.6118381
77,0,wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk,0.648038781,0.643711877,558.605752
78,0,wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk,0.66528507,0.646255154,125.680402
79,0,wgEncodeAwgTfbsSydhK562Sirt6UniPk,0.587430155,0.588782143,556.9456401
80,0,wgEncodeAwgTfbsHaibK562Six5Pcr1xUniPk,0.782328327,0.756350026,556.9449232
81,0,wgEncodeAwgTfbsSydhK562Smc3ab9263IggrabUniPk,0.800060874,0.781709022,131.0820611
82,0,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.629105831,0.607824204,126.0016439
82,1,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.770400958,0.763782706,140.4855189
83,0,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.597199675,0.571106608,560.7958419
83,1,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.829202721,0.828891003,133.025449
84,0,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.845873389,0.839307771,136.7571549
84,1,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.617524267,0.621752651,144.914885
85,0,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.68886668,0.67361794,563.2672808
85,1,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.724693889,0.707617421,563.8949339
86,0,wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.707163282,0.677309006,134.2029841
86,1,wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.6017577,0.59524177,137.114507
87,0,wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk,0.697377483,0.677876841,137.3490899
88,0,wgEncodeAwgTfbsHaibK562Taf7sc101167V0416101UniPk,0.622393635,0.632454576,568.2563031
89,0,wgEncodeAwgTfbsSydhK562Tal1sc12984IggmusUniPk,0.744695015,0.727798302,141.9434659
90,0,wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk,0.599283347,0.595781693,571.400064
91,0,wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk,0.660175849,0.649875587,142.856746
92,0,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.675379243,0.647198565,145.7297549
92,1,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.671549109,0.649458092,142.8011632
93,0,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.6961195,0.68298882,152.1631432
93,1,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.581419525,0.576058435,155.6168668
94,0,wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.571671619,0.593228396,565.681946
94,1,wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.812399399,0.815125833,146.3529031
95,0,wgEncodeAwgTfbsHaibK562Trim28sc81411V0422111UniPk,0.680284454,0.676190562,150.4271321
96,0,wgEncodeAwgTfbsSydhK562Ubfsc13125IggmusUniPk,0.751767789,0.767943246,564.2223458
97,0,wgEncodeAwgTfbsSydhK562Ubtfsab1404509IggmusUniPk,0.692395424,0.668430742,149.9825149
98,0,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.700098207,0.67221951,152.7346339
98,1,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.698489581,0.714302419,162.8717852
99,0,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.616519619,0.597686214,559.300936
99,1,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.754156802,0.755168669,151.585063
100,0,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.666138361,0.634634445,158.0453861
100,1,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.71298344,0.716185695,161.4496889
101,0,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.635944852,0.609495111,156.300076
101,1,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.789793852,0.774284358,159.5136089
102,0,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.616690966,0.605477586,564.7807841
102,1,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.781573456,0.775560289,162.7153652
103,0,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.682193156,0.663486818,168.752269
103,1,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.686684351,0.703266936,191.662956
104,0,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.746277099,0.727900091,169.819675
104,1,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.656638273,0.666923047,171.057663
105,0,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.662683868,0.622564349,573.4831362
105,1,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.753255247,0.758950937,182.3192022
106,0,wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk,0.564942933,0.533995142,580.1614161
107,0,wgEncodeAwgTfbsSydhK562Znf274UcdUniPk,0.732307692,0.826166642,582.646975
