dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec)
98,1,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.836438332,0.83063558,162.8131809
99,0,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.950190225,0.936485351,161.5034571
99,1,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.885290928,0.873131796,162.289901
100,0,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.917294225,0.908075542,162.3833649
100,1,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.789905373,0.783480723,162.492187
101,0,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.905033482,0.899862807,162.3203959
101,1,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.835570789,0.831869159,162.3557169
102,0,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.883488305,0.870591141,162.023942
102,1,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.873884307,0.857268844,162.0404181
103,0,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.862529171,0.864728805,162.7015331
103,1,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.775274581,0.789222459,163.695132
104,0,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.948824922,0.938498268,162.7876091
104,1,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.747883706,0.736193858,162.6122839
105,0,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.87407317,0.86608474,161.6395321
105,1,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.962663152,0.960268872,162.770406
106,0,wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk,0.804768601,0.768888336,161.1931291
107,0,wgEncodeAwgTfbsSydhK562Znf274UcdUniPk,0.870535714,0.858285336,161.4488709
